"case_id","Pl_type_verdict","Pl_type_judgement","Pl_type_minutes","Def_type_verdict","Def_type_judgement","Def_type_minutes","Pl_gender_verdict","Pl_gender_judgement","Pl_gender_minutes","Def_gender_verdict","Def_gender_judgement","Def_gender_minutes","Number_pl_verdict","Number_pl_judgement","Number_pl_minutes","Number_def_verdict","Number_def_judgement","Number_def_minutes","Trial_start_minutes","Trial_start_docket","verdict_date_verdict","Verdict_date_minutes","Verdict_date_docket","NumberofDaysinTrial","Multiple_trials_note","Judge_initial_assignment_docket_header","Judge_initial_assignment_docket_entry","Magistrate_assignment_docket_header","Magistrate_assignment_docket_entry","Judge_jury_trial_minutes","Judge_jury_trial_docket","SeatedJurySize_beg","SeatedJurySize_end","JuryPoolSize","Excused_by_court","Plaintiff_challenges","Defendant_challenges","Voir_dire_time","Voir_dire_start","Voir_dire_end","Voir_dire_recess_length","Voir_dire_recess_times","VD_extras","Deliberation_time","Deliberation_time_flag","Non_economic_damages_requested","Punitive_damages_requested","Monetary_award","Outcome_verdict","Outcome_judgement","Outcome_minutes","Outcome_docket","Verdict_note","Non_economic_damages_awarded","Punitive_damages_awarded","Percent_plaintiff_liable"
1100874,"individual","individual",NA,"corporation","corporation",NA,"Male","Male",NA,NA,NA,NA,1,1,NA,1,1,NA,NA,"07/30/2012","08/03/2012",NA,"08/03/2012",NA,NA,"Senior Judge Christine M. Arguello","Senior District Judge Miller","Magistrate Judge Michael J. Watanabe","Magistrate Judge Michael J. Watanabe",NA,"Judge Christine M. Arguello",NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NO","NO",0,"defendant","defendant",NA,"defendant","Plaintiff found to be at-will employee; no national origin discrimination found; no retaliation found; defendant would have terminated plaintiff for unauthorized tape recording regardless",NA,0,NA
1101765,"individual, corporation","individual, corporation","individual, corporation","corporation","corporation","corporation","Male","Male","Male",NA,NA,NA,2,2,2,1,1,1,"08/04/2014","08/04/2014","08/12/2014","08/12/2014","08/12/2014",7,NA,"Judge Robert E. Blackburn",NA,"Magistrate Judge Nina Y. zzz_Wang-MJ","Magistrate Judge Boyd N. Boland","Judge Robert E. Blackburn","Judge Robert E. Blackburn",9,9,NA,1,3,3,146,"9:36 AM","11:35 AM",13,"10:24 AM to 10:37 AM","At 9:36 AM start: none. At 11:35 AM end: Civil jury oath administered immediately at that timestamp marking the end of voir dire.",NA,"one or more days had unresolvable times — verify manually","NO","NO",0,"defendant","defendant","plaintiff","defendant","Patent found invalid due to anticipation; infringement found only for Alpena Head 'N' Grill but patent invalidated, so defendant prevails overall",NA,0,NA
1101934,"individual","individual","individual","corporation","corporation","corporation","Male","Male","Male",NA,NA,NA,1,1,1,1,1,1,"08/13/2012","08/13/2012","08/16/12","08/16/2012","08/16/2012",4,NA,"Senior Circuit Judge David M Ebel","Senior Circuit Judge David M Ebel","Magistrate Judge Boyd N. Boland","Magistrate Judge Boyd N. Boland","Circuit Judge David M. Ebel","Judge David M. Ebel",7,7,NA,2,3,3,104,"09:11 AM","10:55 AM",0,NA,"At 9:11 AM: Jury panel present, Preliminary instruction to the jury panel, Panel sworn for voir dire, 13 members of the jury panel called to the jury seats for voir dire, Introductions by counsel and parties, The court reads a brief summary of the case to the Jury. At 10:55 AM: Jury sworn, Preliminary instructions by the Court.",241,NA,"NO","NO",325000,"plaintiff","plaintiff","plaintiff","plaintiff",NA,NA,0,NA
1202735,"individual","individual","individual","county","county","individual","Male","Male","Male","Male","Male","Male",1,1,1,3,3,4,"05/18/2015","05/18/2015","05/22/2015","05/22/2015","05/22/2015",5,NA,"Judge Richard P. Matsch","Judge Richard P. Matsch",NA,"Magistrate Judge Boyd N. Boland","Senior District Judge Richard P. Matsch","Judge Richard P. Matsch",12,11,NA,3,3,3,72,"9:00 AM","11:12 AM",0,NA,"At 10:30 a.m., bench conference where counsel pass jury panel for cause and request no additional voir dire by the Court. At 10:35 a.m., Court outlines trial stages and outlines protocol for jurors during trial. Challenges for cause and peremptory challenges recorded. At 10:45 a.m., jury excused from courtroom. Court in Recess 10:45 a.m. to 11:08 a.m. Court in Session. At 11:10 a.m., jury enters.",NA,"one or more days had unresolvable times — verify manually","NO","NO",72583,"plaintiff","plaintiff","plaintiff","plaintiff","Court ruled Fourth Amendment violation on entry/removal; jury decided excessive force and damages questions only",NA,0,NA
1302826,"individual","individual","individual","corporation","state agency, individual","government","Female","Female","Female",NA,"Mixed",NA,1,1,1,1,3,1,"01/30/2017","01/30/2017","02/07/2017","02/07/2017","02/07/2017",7,NA,"Judge Wiley Y. Daniel","Judge Wiley Y. Daniel","Magistrate Judge Craig B. Shaffer","Magistrate Judge Craig B. Shaffer","Senior Judge Wiley Y. Daniel","Judge Wiley Y. Daniel",10,10,NA,6,3,3,75,"10:16 AM","01:31 PM",19,"12:00 PM to 12:19 PM","At the start timestamp (10:16 AM), voir dire by Court begins immediately. At the end timestamp (1:31 PM), jury is sworn to try the case. Between 10:02 AM and 10:16 AM: Court's opening remarks to prospective jurors and voir dire oath given at 10:03 AM.",446,NA,"NO","NO",0,"defendant","defendant","plaintiff","defendant",NA,NA,0,NA
1400348,"individual","individual","individual","corporation","corporation","corporation","Male","Male","Male",NA,NA,NA,1,1,1,1,1,1,"08/22/2016","08/22/2016","08/26/2016","08/26/2016","08/26/2016",5,NA,NA,"Judge Richard P. Matsch","Magistrate Judge Michael E. Hegarty","Magistrate Judge Michael E. Hegarty","Magistrate Judge Michael E. Hegarty","Magistrate Judge Michael E. Hegarty",7,7,NA,3,3,3,118,"09:38 AM","11:36 AM",0,NA,"Court makes preliminary statements to the jury; Jurors sworn for voir dire; Thirteen jurors called to the jury box — all occurring at or after the 9:38 AM timestamp before voir dire by the Court began. At the end, bench conferences at 11:14 AM and 11:17 AM with counsel and juror 100326927 occurred before jury was sworn at 11:36 AM.",124,NA,"NO","NO",0,"defendant","defendant","plaintiff","defendant","Jury answered No to Question 1 (plaintiff did not prove he was unaware of ineligible for rehire designation until 2013), ending deliberations without reaching liability or damages questions",NA,0,NA
1400778,"corporation","corporation","corporation","corporation","corporation","corporation",NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,"09/12/2016","09/12/2016","09/23/2016","09/23/2016","09/23/2016",10,NA,"Judge Robert E. Blackburn","Senior District Judge Richard P. Matsch","Magistrate Judge Michael E. Hegarty","Magistrate Judge Michael E. Hegarty","Judge Robert E. Blackburn","Judge Robert E. Blackburn",9,9,NA,9,3,3,47,"10:03 AM","12:08 PM",18,"11:05 AM to 11:23 AM","At 9:36 AM court in session; at 9:38 AM civil voir dire oath given to jury panel; opening statements by the court; at 9:42 AM court introduces plaintiff; at 9:43 AM court introduces defendants; court introduces court staff; further statements by the court — all occurring before voir dire by court commences at 10:03 AM. At 12:08 PM civil jury oath administered, occurring after voir dire concluded.",305,NA,"NO","YES",0,"defendant","defendant","defendant","defendant","Jury answered NO to Question 1 (fraudulent misrepresentation or concealment not proven); no further questions answered",NA,0,NA
1400778,"corporation","corporation","corporation","corporation","corporation","corporation",NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,"09/12/2016","09/12/2016","09/23/2016","09/23/2016","09/23/2016",10,NA,"Judge Robert E. Blackburn","Senior District Judge Richard P. Matsch","Magistrate Judge Michael E. Hegarty","Magistrate Judge Michael E. Hegarty","Judge Robert E. Blackburn","Judge Robert E. Blackburn",9,9,NA,9,3,3,47,"10:03 AM","12:08 PM",18,"11:05 AM to 11:23 AM","At 9:36 AM court in session; at 9:38 AM civil voir dire oath given to jury panel; opening statements by the court; at 9:42 AM court introduces plaintiff; at 9:43 AM court introduces defendants; court introduces court staff; further statements by the court — all occurring before voir dire by court commences at 10:03 AM. At 12:08 PM civil jury oath administered, occurring after voir dire concluded.",305,NA,"NO","NO",0,"defendant","defendant","defendant","defendant","Jury found no breach of contract by defendant; Question 1 answered NO, ending deliberations on Verdict Form B",NA,0,NA
1400778,"corporation","corporation","corporation","corporation","corporation","corporation",NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,"09/12/2016","09/12/2016","09/23/2016","09/23/2016","09/23/2016",10,NA,"Judge Robert E. Blackburn","Senior District Judge Richard P. Matsch","Magistrate Judge Michael E. Hegarty","Magistrate Judge Michael E. Hegarty","Judge Robert E. Blackburn","Judge Robert E. Blackburn",9,9,NA,9,3,3,47,"10:03 AM","12:08 PM",18,"11:05 AM to 11:23 AM","At 9:36 AM court in session; at 9:38 AM civil voir dire oath given to jury panel; opening statements by the court; at 9:42 AM court introduces plaintiff; at 9:43 AM court introduces defendants; court introduces court staff; further statements by the court — all occurring before voir dire by court commences at 10:03 AM. At 12:08 PM civil jury oath administered, occurring after voir dire concluded.",305,NA,"NO","NO",0,"defendant","defendant","defendant","defendant",NA,NA,0,NA
1402403,"individual","individual","individual","individual","individual","individual","Male","Male","Male","Female","Female","Female",1,1,1,1,1,1,"06/11/2018","06/11/2018","06/12/2018","06/12/2018","06/12/2018",2,NA,"Judge Marcia S. Krieger","Chief Judge Marcia S. Krieger","Magistrate Judge Michael J. Watanabe","Magistrate Judge Michael J. Watanabe","Chief Judge Marcia S. Krieger","Chief Judge Marcia S. Krieger",NA,NA,NA,NA,NA,NA,85,"08:50 AM","10:15 AM",0,NA,"Jurors sworn for voir dire occurred at the 8:50 AM timestamp before voir dire by the Court began; jurors sworn to try the case occurred before the 10:15 AM Court in recess timestamp",182,NA,"NO","NO",250,"plaintiff","plaintiff","plaintiff","plaintiff",NA,NA,0,NA
1402565,"corporation","corporation","corporation","individual","individual","individual",NA,NA,NA,"mixed","mixed","Mixed",1,1,1,3,3,3,"10/31/2016","10/31/2016","11/04/2016","11/04/2016","11/04/2016",5,NA,"Judge Raymond P. Moore","Judge Wiley Y. Daniel","Magistrate Judge Michael J. Watanabe","Magistrate Judge Michael J. Watanabe","Judge Raymond P. Moore","Judge Raymond P. Moore",8,7,NA,NA,3,3,99,"9:21 AM","11:17 AM",17,"10:48 AM to 11:05 AM","At 11:06 a.m., Voir dire by Ms. Miletich occurred between the 11:05 a.m. session resumption timestamp and the 11:17 a.m. end of voir dire (counsel pass the panel for cause).",279,NA,"NO","YES",0,"defendant","defendant","defendant","defendant",NA,NA,0,NA
1500720,"individual","individual","individual","corporation","corporation","corporation","Male","Male","Male",NA,NA,NA,1,1,1,1,1,1,"08/14/2017","08/14/2017","08/18/2017","08/18/2017","08/18/2017",5,NA,NA,"Judge Wiley Y. Daniel","Magistrate Judge Nina Y. zzz_Wang-MJ","Magistrate Judge Kathleen M. Tafoya","Magistrate Judge Nina Y. Wang","Magistrate Judge Nina Y. Wang",7,7,NA,1,3,3,169,"09:24 AM","12:33 PM",20,"10:50 AM to 11:09 AM","At 12:00 PM jury was escorted out of the courtroom; at 12:04 PM discussion and argument held regarding Batson challenge; at 12:13 PM court in recess; at 12:33 PM court in session and the court ruled on the Batson challenge before jury empanelment was finalized",194,NA,"YES","NO",580000,"plaintiff","plaintiff","plaintiff","plaintiff",NA,100000,0,NA
1500720,"individual","individual","individual","corporation","corporation","corporation","Male","Male","Male",NA,NA,NA,1,1,1,1,1,1,"11/19/2010","08/14/2017","08/18/2017","08/18/2017","08/18/2017",5,NA,NA,"Judge Wiley Y. Daniel","Magistrate Judge Nina Y. zzz_Wang-MJ","Magistrate Judge Kathleen M. Tafoya","Judge Lewis T. Babcock","Magistrate Judge Nina Y. Wang",NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,194,NA,"YES","NO",580000,"plaintiff","plaintiff","plaintiff","plaintiff",NA,100000,0,NA
1501795,"individual","individual","individual","individual","individual","individual","Male","Male","Male","Male","Male","Mixed",1,1,1,2,2,2,"09/25/2017","09/25/2017","09/27/2017","09/27/2017","09/27/2017",3,NA,"Magistrate Judge Michael J. Watanabe","Chief Judge Marcia S. Krieger","Magistrate Judge Scott T. Varholak","Magistrate Judge Michael J. Watanabe","Magistrate Judge Michael J. Watanabe","Magistrate Judge Michael J. Watanabe",8,8,NA,2,3,3,90,"09:08 AM","10:38 AM",0,NA,"At 9:57 a.m., Plaintiff's oral motion challenging juror 100367353 for cause GRANTED; at 10:10 a.m., Plaintiff's oral motion challenging juror 100356558 for cause DENIED; at 10:24-10:25 a.m., bench conference where Plaintiff's renewal oral motion challenging juror 100356558 for cause GRANTED; at 10:25 a.m., Plaintiff's and Defendants' voir dire continues.",139,NA,"NO","YES",0,"defendant","defendant","plaintiff","defendant",NA,NA,0,NA
1501974,"individual","individual","individual","individual","individual","individual","Male","Male","Male","Mixed","Mixed","Mixed",1,1,1,2,3,2,"08/07/2017",NA,"08/14/2017","08/14/2017",NA,6,NA,NA,NA,NA,NA,"Judge William J. Martínez",NA,NA,8,NA,13,NA,NA,120,"02:15 PM","04:38 PM",23,"03:34 PM to 03:57 PM","At 02:08 PM (Court in Session): jury panel present and court's opening remarks to the jury occurred before voir dire commenced at 02:15 PM",NA,"one or more days had unresolvable times — verify manually","NO","NO",NA,"defendant","defendant","defendant",NA,"This document is courtroom minutes noting a verdict was reached, not the verdict form itself. Verdict details not specified in this document.",NA,NA,NA
1502785,"corporation","individual, corporation","individual, corporation","individual, corporation","individual, corporation","individual, corporation",NA,"Male","Male","Mixed","Male","Male",1,3,3,3,3,3,"02/11/2019","02/11/2019","02/15/2019","02/15/2019","02/15/2019",5,NA,"Judge Raymond P. Moore","Magistrate Judge Gordon P. Gallagher","Magistrate Judge Nina Y. zzz_Wang-MJ","Magistrate Judge Nina Y. Wang","Judge Raymond P. Moore","Judge Raymond P. Moore",8,8,NA,1,3,3,99,"09:22 AM","11:17 AM",16,"10:35 AM to 10:51 AM","At 9:19 AM (before voir dire start at 9:22 AM): Jury panel is present; Introductory statements by the Court. At 11:17 AM (the voir dire end timestamp): Counsel exercise their peremptory challenges.",NA,"one or more days had unresolvable times — verify manually","NO","NO",475000,"plaintiff","plaintiff","plaintiff","plaintiff",NA,0,0,NA
1600447,"individual","individual","individual","individual","individual","individual","Male","Male","Male","Male","Male","Male",1,1,1,1,1,1,"10/07/2019","10/07/2019","10/09/2019","10/09/2019","10/09/2019",3,NA,"Judge Philip A. Brimmer","Judge Philip A. Brimmer","Magistrate Judge Kristen L. Mix","Magistrate Judge Kristen L. Mix","Chief Judge Philip A. Brimmer","Chief Judge Philip A. Brimmer",9,NA,NA,2,2,3,83,"9:02 AM","10:40 AM",15,"10:18 AM to 10:33 AM","At the start timestamp (9:02 AM), voir dire begins directly. At the end timestamp (10:40 AM), nine jurors are selected; prior to that at 10:33-10:34 AM there was a bench conference where counsel passed the jury for cause, followed by listing of jurors excused for cause and peremptory challenges before the final jury selection at 10:40 AM.",95,NA,"YES","YES",0,"defendant","defendant","plaintiff","plaintiff",NA,0,0,NA
1603000,"individual",NA,"individual","individual",NA,"individual","Female",NA,"Female","Mixed",NA,"Male",1,NA,1,4,NA,4,"09/10/2018","09/10/2018","09/27/2018","09/27/2018","09/27/2018",13,NA,"Judge R. Brooke Jackson","Judge Richard P. Matsch",NA,"Magistrate Judge Kathleen M. Tafoya","Judge R. Brooke Jackson","Judge R. Brooke Jackson",7,NA,36,5,3,3,215,"9:28 AM","12:57 PM",14,"10:43 AM to 10:57 AM",NA,233,NA,"YES","NO",0,"defendant",NA,"defendant","defendant","All defendants found not negligent; jury stopped at Question 1",0,0,NA
1700025,"individual","individual","individual","corporation","corporation","corporation","Female","Female","Female",NA,NA,NA,1,1,1,1,1,1,"02/20/2018","02/20/2018","02/22/2018","02/22/2018","02/22/2018",3,NA,"Judge Wiley Y. Daniel","Judge Wiley Y. Daniel","Magistrate Judge Kelly H zzz_Rankin-MJ","Magistrate Judge Craig B. Shaffer","Senior Judge Wiley Y. Daniel","Judge Wiley Y. Daniel",10,10,NA,0,3,3,107,"9:35 AM","12:27 PM",22,"10:50 AM to 11:12 AM","At 12:25 p.m. Court reads preliminary jury instructions, then at 12:27 p.m. jury is sworn to try the case",276,NA,"YES","YES",4e+05,"plaintiff","plaintiff","plaintiff","plaintiff",NA,NA,360000,NA
1700584,"individual","individual","individual","corporation","corporation","corporation","Male","Male","Male",NA,NA,NA,1,1,1,1,1,1,"10/15/2018","10/15/2018","10/18/2018","10/18/2018","10/18/2018",4,NA,"Judge Philip A. Brimmer","Judge Philip A. Brimmer","Magistrate Judge Nina Y. zzz_Wang-MJ","Magistrate Judge Nina Y. Wang","Judge Philip A. Brimmer","Judge Philip A. Brimmer",9,NA,NA,2,3,3,97,"9:26 AM","11:46 AM",18,"10:29 AM to 10:47 AM","At 9:13 AM: Jurors present, fifteen jurors seated in the jury box; Court's preliminary remarks and introduction of staff, counsel, and parties; Statement by the Court; All jurors sworn for voir dire. At 9:29 AM: Court reads the statement of the case before voir dire continues.",NA,"one or more days had unresolvable times — verify manually","YES","NO",0,"defendant","defendant",NA,"plaintiff",NA,0,0,NA
1701341,"individual","individual",NA,"individual","individual",NA,"Male","Male",NA,"Female","Female",NA,1,1,NA,2,2,NA,NA,"09/16/2019","09/18/2019",NA,"09/18/2019",NA,NA,"Senior Judge Christine M. Arguello","Judge Christine M. Arguello","Magistrate Judge Scott T. Varholak","Magistrate Judge Scott T. Varholak",NA,"Judge Christine M. Arguello",NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NO","YES",190002,"plaintiff","plaintiff",NA,"plaintiff",NA,NA,190000,NA
1702629,"individual",NA,"individual","corporation",NA,"corporation","Mixed",NA,"Mixed",NA,NA,NA,2,NA,2,1,NA,1,"05/06/2019","05/06/2019","05/08/2019","05/08/2019","05/08/2019",3,NA,"Magistrate Judge Kathleen M. Tafoya","Magistrate Judge Kathleen M. Tafoya","Magistrate Judge Kathleen M. Tafoya","Magistrate Judge Kathleen M. Tafoya","Magistrate Judge Kathleen M. Tafoya","Magistrate Judge Kathleen M. Tafoya",8,NA,NA,1,3,3,38,"10:17 AM","11:55 AM",0,NA,"At 10:17 AM start: Court reads statement of case to jurors and Counsel reads list of potential witnesses. At 11:55 AM end: Eight jurors sworn to try the case (juror IDs listed).",116,NA,"NO","NO",0,"defendant",NA,"plaintiff","defendant","Jury stopped at Question 2 and 3 answering No; breach of contract not established",NA,0,NA
