"case_id","Pl_type_verdict","Pl_type_judgement","Pl_type_minutes","Def_type_verdict","Def_type_judgement","Def_type_minutes","Pl_gender_verdict","Pl_gender_judgement","Def_gender_verdict","Def_gender_judgement","Number_pl_verdict","Number_pl_judgement","Number_def_verdict","Number_def_judgement","Trial_start_minutes","Trial_start_docket","Verdict_date_minutes","Verdict_date_docket","NumberofDaysinTrial","NumberofDaysinTrial_docket","Multiple_trials_note","Judge_initial_assignment","Magistrate_assignment","Judge_jury_trial_minutes","Judge_jury_trial_docket","SeatedJurySize_beg","SeatedJurySize_end","JuryPoolSize","Excused_by_court","Plaintiff_challenges","Defendant_challenges","Voir_dire_start","Voir_dire_end","Voir_dire_recess_times","Voir_dire_recess_length","Voir_dire_time","VD_extras","Deliberation_time","Deliberation_time_flag","Deliberation_days","Delib_schedule","Non_economic_damages_requested","Punitive_damages_requested","Monetary_award","Outcome_verdict","Outcome_judgement","Outcome_docket","Verdict_note","Non_economic_damages_awarded","Punitive_damages_awarded","Percent_plaintiff_liable","Damages_itemized","Damages_sum_check"
"1102557","government entity","federal government agency",NA,"corporation","corporation",NA,NA,NA,NA,NA,"1","1","1","1",NA,"04/08/2013",NA,"04/12/2013",NA,"5",NA,NA,NA,NA,"Judge Christine M. Arguello",NA,"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"YES","YES",30543.25,"plaintiff","plaintiff","plaintiff","Jury found for plaintiff on disability discrimination (Q1 Yes) but not on unlawful use of medical examination (Q2 No). Defendant's direct threat affirmative defense rejected (Q3 No). Back pay awarded but reduced for failure to mitigate. No punitive damages awarded.",NA,NA,NA,"[{""question"":""Q4 Back Pay"",""amount"":132347,""recipient"":""plaintiff"",""type"":""economic""},{""question"":""Q4 Emotional Pain and Mental Anguish Damages"",""amount"":0,""recipient"":""plaintiff"",""type"":""noneconomic""},{""question"":""Q6 Reduction to back pay for failure to mitigate"",""amount"":101803.75,""recipient"":""defendant"",""type"":""economic""},{""question"":""Q8 Punitive damages"",""amount"":{},""recipient"":""plaintiff"",""type"":""punitive""}]","verify — one or more line items had no amount"
"1202735","individual","individual","individual","individual","individual","individual","Male","Male","Male","Male","1","1","3","3","05/18/2015","05/18/2015","05/22/2015","05/22/2015","5","5",NA,NA,NA,"Senior District Judge Richard P. Matsch","Judge Richard P. Matsch","12","11",NA,"3","3","3","09:00 AM","11:13 AM","10:45 AM to 11:08 AM",23,110,"At 10:30 a.m. bench conference where counsel pass jury panel for cause and request no additional voir dire by the Court; at 10:35 a.m. Court outlines trial stages and protocol for jurors; challenges for cause and peremptory challenges recorded; at 10:45 a.m. jury excused from courtroom; at 11:10 a.m. jury enters; at 11:12 a.m. jury sworn to try case",342,NA,2,"Day 1: 1:32 PM to 4:32 PM, 180 min; Day 2: 9:00 AM to 11:42 AM, 162 min","NO","NO",72583,"plaintiff","plaintiff","plaintiff","Court had already ruled that defendants Weatherill and Hartbauer violated the Fourth Amendment by their entry and removal of plaintiff from the van; jury found no excessive force (Q1: No), but found defendant Bishop liable for conduct of Weatherill and Hartbauer (Q2: Yes), and found plaintiff sustained damages from Fourth Amendment violations (Q3: Yes).",NA,NA,NA,"[{""question"":""Damages sustained caused by violations of the Fourth Amendment"",""amount"":72583,""recipient"":""plaintiff"",""type"":""null""}]","ok"
"1302826","individual","individual","individual","government entity","state agency, individual","corporation","Female","Female",NA,"Mixed","1","1","1","3","01/30/2017","01/30/2017","02/07/2017","02/07/2017","7","7",NA,NA,NA,"Senior Judge Wiley Y. Daniel","Judge Wiley Y. Daniel","10","10",NA,"6","3","3","10:16 AM","01:34 PM","12:00 PM to 12:19 PM",19,179,"At 10:02 AM, Court in Session with jury present and Court's opening remarks to prospective jurors occurred before voir dire oath given at 10:03 AM and voir dire by Court beginning at 10:16 AM. At 1:31 PM, jury sworn to try the case; Court in Recess at 1:34 PM.",446,NA,1,"Day 1: 9:00 AM to 4:26 PM, 446 min","NO","NO",0,"defendant","defendant","defendant","Jury found for defendant on Question 1 (no Equal Pay Act violation proven), ending deliberations before damages questions were reached.",NA,NA,NA,"[{""question"":""Q5 — Damages awarded to plaintiff"",""amount"":{},""recipient"":""plaintiff"",""type"":""economic""}]","verify — one or more line items had no amount"
"1400348","individual","individual","individual","corporation","corporation","corporation","Male","Male",NA,NA,"1","1","1","1","08/22/2016","08/22/2016","08/26/2016","08/26/2016","5","5",NA,NA,NA,"Magistrate Judge Michael E. Hegarty","Magistrate Judge Michael E. Hegarty","7","7",NA,"3","3","3","09:38 AM","11:36 AM",NA,0,118,"At 9:38 a.m., prior to voir dire beginning, the court made preliminary statements to the jury and jurors were sworn for voir dire. At 11:36 a.m., the jury was sworn immediately after the selection process concluded.",124,NA,1,"Day 1: 11:56 AM to 2:00 PM, 124 min","NO","NO",0,"defendant","defendant","defendant","Jury answered No to Question 1 (whether plaintiff did not know or should not have known of the ineligible for rehire designation until 2013), ending deliberations. Questions 2-6 were not answered. Verdict for defendant.",NA,NA,NA,"[{""question"":""Q5 — Total amount of back pay damages"",""amount"":{},""recipient"":""plaintiff"",""type"":""economic""},{""question"":""Q6 — Amount to reduce plaintiff's back pay damages (failure to mitigate)"",""amount"":{},""recipient"":""defendant"",""type"":""economic""}]","verify — one or more line items had no amount"
"1402403","individual","individual","individual","individual","individual","individual","Male","Male","Female","Female","1","1","1","1","06/11/2018","06/11/2018","06/12/2018","06/12/2018","2","2","Multiple trial sequences found. First scheduled trial on 12/19/2017 was vacated and reset (no jury seated, trial not commenced). Second scheduling on 4/24/2018 (Jury Trial Day 1) was continued to 6/11-12/2018. Final completed trial: June 11-12, 2018 (2 days), ending in jury verdict for plaintiff. The 4/24/2018 entry appears to be a continuation/rescheduling rather than a separate trial sequence with a jury seated.",NA,NA,"Chief Judge Marcia S. Krieger","Chief Judge Marcia S. Krieger",NA,NA,NA,NA,NA,NA,"08:50 AM","10:15 AM",NA,0,85,"Jurors sworn for voir dire; Voir dire by the Court; Counsel exercise their challenges; Jurors sworn to try the case — all occurred between 8:50 a.m. and the 10:15 a.m. recess timestamp",179,NA,1,"Day 1: 10:44 AM to 1:43 PM, 179 min","NO","NO",250,"plaintiff","plaintiff","plaintiff",NA,NA,NA,NA,"[{""question"":""Question 4: Amount of damages awarded to Mr. Rabidue against Ms. Dang"",""amount"":250,""recipient"":""plaintiff"",""type"":""economic""}]","ok"
"1402565","corporation","corporation","corporation","individual","individual","individual",NA,NA,"mixed","mixed","1","1","3","3","10/31/2016","10/31/2016","11/04/2016","11/04/2016","5","5",NA,NA,NA,"Judge Raymond P. Moore","Judge Raymond P. Moore","8","7",NA,NA,"3","3","09:21 AM","11:26 AM","10:48 AM to 11:05 AM",17,108,"At 11:06 a.m. Voir dire by Ms. Miletich. At 11:17 a.m. counsel pass the panel for cause. Plaintiff's and Defendants' peremptory challenges exercised. Eight jurors sworn to try the case.",279,NA,1,"Day 1: 12:11 PM to 4:50 PM, 279 min","NO","YES",0,"defendant","defendant","defendant","All claims found in favor of defendants on all counts. Damages lines left blank as all liability questions answered No.",NA,NA,NA,"[{""question"":""Actual damages against Defendant Glenn McQuate"",""amount"":{},""recipient"":""plaintiff"",""type"":""economic""},{""question"":""Actual damages against Defendant Paul Prouty"",""amount"":{},""recipient"":""plaintiff"",""type"":""economic""},{""question"":""Actual damages against Defendant Mary Wong"",""amount"":{},""recipient"":""plaintiff"",""type"":""economic""},{""question"":""Punitive damages against Defendant Glenn McQuate"",""amount"":{},""recipient"":""plaintiff"",""type"":""punitive""},{""question"":""Punitive damages against Defendant Paul Prouty"",""amount"":{},""recipient"":""plaintiff"",""type"":""punitive""},{""question"":""Punitive damages against Defendant Mary Wong"",""amount"":{},""recipient"":""plaintiff"",""type"":""punitive""}]","verify — one or more line items had no amount"
"1500720","individual","individual","individual","corporation","corporation","corporation","Male","Male",NA,NA,"1","1","1","1","08/14/2017","08/14/2017","08/18/2017","08/18/2017","5","5",NA,NA,NA,"Magistrate Judge Nina Y. Wang","Magistrate Judge Nina Y. Wang","8","7",NA,"0","3","3","09:24 AM","12:33 PM","10:50 AM to 11:09 AM; 12:13 PM to 12:33 PM",39,150,"At 12:00 p.m. jury was escorted out of the courtroom; at 12:04 p.m. discussion and argument held regarding Batson challenge. At 12:33 p.m. court ruled on Batson challenge allowing peremptory challenge regarding Juror No. 100349362 and jury was empaneled.",194,NA,1,"Day 1: 1:17 PM to 4:31 PM, 194 min","YES","NO",580000,"plaintiff","plaintiff","plaintiff",NA,100000,NA,NA,"[{""question"":""Noneconomic losses or injuries (pain and suffering, etc.)"",""amount"":100000,""recipient"":""plaintiff"",""type"":""noneconomic""},{""question"":""Economic losses"",""amount"":500000,""recipient"":""plaintiff"",""type"":""economic""},{""question"":""Reduction for failure to mitigate damages"",""amount"":20000,""recipient"":""defendant"",""type"":""economic""}]","ok"
"1500720","individual","individual","individual","corporation","corporation","corporation","Male","Male",NA,NA,"1","1","1","1","11/19/2010","08/14/2017","08/18/2017","08/18/2017","5","5",NA,NA,NA,"Judge Lewis T. Babcock","Magistrate Judge Nina Y. Wang",NA,"7",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,194,NA,1,"Day 1: 1:17 PM to 4:31 PM, 194 min","YES","NO",580000,"plaintiff","plaintiff","plaintiff",NA,100000,NA,NA,"[{""question"":""Noneconomic losses or injuries (pain and suffering, etc.)"",""amount"":100000,""recipient"":""plaintiff"",""type"":""noneconomic""},{""question"":""Economic losses"",""amount"":500000,""recipient"":""plaintiff"",""type"":""economic""},{""question"":""Reduction for failure to mitigate damages"",""amount"":20000,""recipient"":""defendant"",""type"":""economic""}]","ok"
"1501068","individual","individual","individual","corporation","corporation","corporation","Male","Male",NA,NA,"1","1","1","1","01/09/2017","01/09/2017","01/12/2017","01/12/2017","4","4",NA,NA,NA,"Judge Lewis T. Babcock","Judge Lewis T. Babcock","9","9",NA,"2","3","3","9:45 AM","10:38 AM",NA,0,53,"At 10:36 a.m., nine jurors sworn to try the case; Court instructs jury — both occurred before the next timestamp of 10:38 a.m. (Court in recess)",210,NA,1,"Day 1: 10:40 AM to 2:10 PM, 210 min","YES","NO",0,"defendant","defendant","defendant","Jury answered No to questions 2, 3, and 4 (defendant did not know about danger, did not fail to use reasonable care, and failure was not a cause of plaintiff's injuries), resulting in a verdict for the defendant. The jury stopped at question 4 per instructions. Damage questions were left blank.",NA,NA,NA,"[{""question"":""Non-economic losses or injuries (excluding physical impairment or disfigurement)"",""amount"":{},""recipient"":""plaintiff"",""type"":""noneconomic""},{""question"":""Economic losses (excluding physical impairment or disfigurement)"",""amount"":{},""recipient"":""plaintiff"",""type"":""economic""},{""question"":""Physical impairment or disfigurement"",""amount"":{},""recipient"":""plaintiff"",""type"":""noneconomic""}]","verify — one or more line items had no amount"
"1501795","individual","individual","individual","individual","individual","individual","Male","Male","Male","Mixed","1","1","2","2","09/25/2017","09/25/2017","09/27/2017","09/27/2017","3","3",NA,NA,NA,"Magistrate Judge Michael J. Watanabe","Magistrate Judge Michael J. Watanabe","8","8",NA,"2","3","3","9:08 AM","10:40 AM",NA,0,92,"At 9:57 a.m., Plaintiff's oral motion challenging juror 100367353 for cause was GRANTED and juror excused. At 10:10 a.m., Plaintiff's oral motion challenging juror 100356558 for cause was DENIED. At 10:24-10:25 a.m., bench conference held; Plaintiff's renewal oral motion challenging juror 100356558 for cause was GRANTED and juror excused. At 10:25 a.m., Plaintiff's and Defendants' voir dire continued. At 10:38 a.m., eight jurors selected. At 10:39 a.m., jurors not selected excused. Prior to swearing at 10:40 a.m., discussion regarding preliminary jury instruction followed the swearing.",137,NA,1,"Day 1: 11:02 AM to 1:19 PM, 137 min","NO","YES",0,"defendant","defendant","defendant","Jury found in favor of both defendants on all questions: no unlawful arrest (Q1), no excessive force (Q2), no willful and wanton negligence (Q3), no outrageous conduct (Q4). Defendant certification section signed for both Michael Donnellon and Aaron Sandoval. Questions 5 and 6 (damages) were not reached.",NA,NA,NA,"[{""question"":""Question Five — Actual damages awarded to Mr. Forbes"",""amount"":{},""recipient"":""plaintiff"",""type"":""economic""},{""question"":""Question Six — Punitive damages awarded to Mr. Forbes"",""amount"":{},""recipient"":""plaintiff"",""type"":""punitive""}]","verify — one or more line items had no amount"
"1501974","individual","individual","individual","individual","individual","individual","Male","Male","Mixed","Mixed","1","1","2","3","08/07/2017",NA,"08/14/2017",NA,"6",NA,NA,NA,NA,"Judge William J. Martínez",NA,NA,"8",NA,"13",NA,NA,"02:15 PM",NA,"03:34 PM to 03:57 PM",23,NA,"At 02:08 PM court in session with jury panel present and court's opening remarks to the jury occurred before voir dire commenced at 02:15 PM.",243,NA,1,"Day 1: 12:36 PM to 04:39 PM, 243 min","NO","NO",NA,"defendant","defendant",NA,"This document is courtroom minutes from jury trial day six, not a verdict form itself. The verdict was read aloud by the court but the specific findings and amounts are not recorded in this document. Based on public record, the jury found for defendants on Mueller's claims and for counterclaimant Taylor Swift on her counterclaim, awarding $1 symbolic damages.",NA,NA,NA,NA,"no itemized damages"
