"case_id","Pl_type","Def_type","Pl_gender","Def_gender","Number_pl","Number_def","Outcome","Verdict_note","Non_economic_damages_requested","Punitive_damages_requested","Monetary_award","Non_economic_damages_awarded","Punitive_damages_awarded","Percent_plaintiff_liable","verdict_date","claude_notes","dai_field_name","dai_field_value","dai_amount","value_confidence","flag_for_review","Number_jurors","Trial_date","Judge","Jury_size","Jurors_brought","Excused_for_cause","Pl_peremptory","Def_peremptory","Voir_dire_minutes","Voir_Dire_Extras","Final_trial_day","Delib_start_time","Delib_end_time","notes","Deliberation_minutes","Deliberation_minutes_flag"
"1100874","individual","corporation","Male",NA,"1","1","defendant","Jury found plaintiff engaged in protected activity (Q2: Yes) but defendant did not retaliate (Q3: No); national origin discrimination not found (Q1: No); plaintiff was at-will employee (Q4a: Yes); defendant would have terminated plaintiff for unauthorized tape recording (Q6: Yes); no damages awarded","NO","NO","0",NA,"0",NA,"08/03/2012","Verdict form covers Title VII national origin discrimination and retaliation claims, as well as state law implied contract claims. All liability questions resolved in favor of defendant. Damage questions (7, 8, 9) were left blank as no liability was found. Q5 was marked N/A as Q4a (at-will) was answered Yes, making Q5 inapplicable.",NA,NA,NA,NA,NA,"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1101765","individual, corporation","corporation","Male",NA,"2","1","defendant","Patent infringement case. Jury found infringement only for Alpena Head 'N' Grill (not LEDLitz or MOTION), but found patent invalid due to anticipation (Q3: Yes), which per instructions meant Q4 (damages) was not answered. Defendant prevailed on invalidity defense.","NO","NO","0",NA,"0",NA,"08/12/2014","This is a patent infringement case. The jury found infringement of the '780 Patent by the Alpena Head 'N' Grill only (Q1c: Yes), but found the patent invalid due to anticipation (Q3: Yes). Because Q3 was answered Yes, the jury was instructed not to answer Q4 (damages), leaving the damages line blank. The defendant effectively won on the invalidity defense.",NA,NA,NA,NA,NA,"9","08/04/2014","Judge Robert E. Blackburn","9","15","1","3","3","136","Court advises panel of jurors regarding admonitions of trial during the break (between 10:19 a.m. voir dire by Mr. Bradford and the 10:24 a.m. recess)","7",NA,"11:33 a.m.","Deliberations had concluded before court convened; court opened at 11:33 a.m. specifically to receive the verdict. Deliberation start time not recorded in this document — likely in a prior day's minutes. Total time in court was only 10 minutes. Jury verdict filed conventionally per General Order 2007-3.",NA,"one or more days had unresolvable times — verify manually"
"1101934","individual","corporation","Male",NA,"1","1","plaintiff",NA,"NO","NO","325000",NA,"0",NA,"08/16/2012","Single lump-sum damages award of $325,000 with no breakdown by category. The verdict form is a simple one-line finding for plaintiff against American Family Mutual Insurance Company.",NA,NA,NA,NA,NA,"7","08/13/2012","Circuit Judge David M. Ebel","7",NA,"2","3","3","104","13 members of the jury panel called to the jury seats for voir dire; introductions by counsel and parties; the court reads a brief summary of the case to the jury — all occurring between the 9:11 a.m. panel-sworn timestamp and the start of substantive voir dire questioning","4","10:33 a.m.","2:34 p.m.","The verdict notification timestamp is recorded as '2:10 a.m.' which is almost certainly a typographical error and should read '2:10 p.m.' given the sequential context of the day's events. Multiple Court Security Officers were sworn in at intervals during deliberations (Gary Osborne at 11:00 a.m., Katherine Maestas at 11:30 a.m., Terry Simmons at 12:30 p.m.). Jurors were polled at the request of the defendant.",241,NA
"1102557","federal agency","corporation",NA,NA,"1","1","plaintiff","Jury found for plaintiff on disability discrimination (Q1 Yes) but not on unlawful use of medical examination (Q2 No). Affirmative defense of direct threat rejected (Q3 No). Back pay awarded but reduced for failure to mitigate. Punitive damages denied.","YES","YES","29543.25","0","0",NA,"04/12/2013","Back pay awarded was $132,347.00; reduced by $102,803.75 for failure to mitigate (Q5 Yes, Q6), resulting in net back pay of $29,543.25. Emotional pain and mental anguish damages awarded $0. Punitive damages question answered No, Q8 not filled in.","Emotional Pain and Mental Anguish Damages:","$ 0",0,0.73605907,TRUE,"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1202735","individual","county","Male","Male","1","3","plaintiff","Court had already ruled defendants Weatherill and Hartbauer violated the Fourth Amendment by entry and removal of plaintiff from van; jury found no excessive force (Q1: No) but found Stan Bishop liable (Q2: Yes) and damages proven (Q3: Yes)","NO","NO","72583",NA,"0",NA,"05/22/2015","The court had pre-determined liability for the Fourth Amendment violation (unlawful entry and removal from van); the jury was asked about excessive force (No), supervisory liability of Stan Bishop (Yes), and damages (Yes, $72,583). The damages award is a lump sum with no breakdown specified.",NA,NA,NA,NA,NA,"11","05/18/2015","Senior District Judge Richard P. Matsch","12",NA,"3","3","3","72","At 8:47 a.m., voir dire oath given, introductions of people seated at counsel table, and initial eighteen jurors drawn from jury wheel occurred before voir dire by Court commenced at 9:00 a.m. At 10:30 a.m., bench conference where counsel passed jury panel for cause and requested no additional voir dire by the Court occurred before jury was sworn at 11:12 a.m.; at 10:35 a.m. Court outlined trial stages and protocol; challenges for cause and peremptory challenges were exercised; at 10:45 a.m. jury excused and court recessed until 11:08 a.m.","5",NA,"11:42 a.m.","Deliberations began at 9:00 a.m. on this final day (Day 5) per the minutes narrative, but no formal timestamp entry marks that start — it is described in prose only. The jury had reconvened from a prior day. Verdict was in favor of plaintiff and against all defendants. Counsel declined jury poll. Total session time was 11 minutes.",NA,"one or more days had unresolvable times — verify manually"
"1302826","individual","government","Female",NA,"1","1","defendant","Jury found for defendant on Question 1 (Equal Pay Act discrimination not proven); Questions 2-5 were not reached","NO","NO","0",NA,"0",NA,"02/07/2017","Verdict form answered No to Question 1 (EPA discrimination), ending deliberations. Questions 2-5 were not answered. The damages section referenced willfulness and a date range of October 16, 2010 through May 10, 2012 (or October 16, 2011 through May 10, 2012 if not willful), but these were never reached. Defendant is Colorado Public Employees' Retirement Association, a state retirement association.",NA,NA,NA,NA,NA,"10","01/30/2017","Senior Judge Wiley Y. Daniel","10",NA,"6","3","3","155",NA,"7","9:00 a.m.","4:26 p.m.","Jury sent two questions during deliberations (at 2:45 p.m. and 3:59 p.m.). Court responded in writing to the first question and read jury instruction 28 aloud for the second. Jury was briefly brought into courtroom at 4:10 p.m. for the second question response before resuming deliberations. Verdict reached and read at 4:30 p.m.; jury polled at 4:31 p.m. and discharged at 4:35 p.m. Defendant's Motion to Strike Plaintiff's Expert Economist (ECF Doc. No. 153) denied as moot. Exhibits returned to counsel at conclusion of trial. Total court time recorded as 31 minutes.",446,NA
"1400348","individual","corporation","Male",NA,"1","1","defendant","Jury answered No to Question 1 (plaintiff did not prove he was unaware of the ineligible for rehire designation until 2013), ending deliberations at that point — verdict for defendant on statute of limitations/discovery grounds","NO","NO","0","0","0",NA,"08/26/2016","The jury answered No to Question 1 regarding whether plaintiff proved he did not know (or should not have known through reasonable diligence) of the ineligible for rehire designation until 2013. Per the form instructions, this ended deliberations. Questions 2-6 were not answered. The case involved an age discrimination claim under the ADEA against SkyWest Airlines.",NA,NA,NA,NA,NA,"7","08/22/2016","Magistrate Judge Michael E. Hegarty","7",NA,"3","3","3","58","Thirteen jurors called to the jury box occurred between jury being brought in at 9:38 a.m. and voir dire by the Court beginning; bench conferences with counsel at 11:14 a.m. and with counsel and juror 100326927 at 11:17 a.m. occurred between end of attorney voir dire and jury being sworn at 11:36 a.m.","5","11:56 a.m.","2:00 p.m.","Jury sent a note to chambers at 12:55 p.m. during deliberations; court reconvened at 1:30 p.m. to discuss the note, then recessed again at 1:46 p.m. before reconvening at 2:00 p.m. when the verdict was received. Plaintiff requested jury poll; all jurors affirmed the verdict. Total in-court time was 3 hours, 24 minutes.",124,NA
"1400778","corporation","corporation",NA,NA,"1","1","defendant","Jury answered NO to Question 1 (fraudulent misrepresentation or concealment not proven), ending deliberations on Verdict Form A without reaching damages questions","NO","YES","0","0","0",NA,"09/23/2016","Verdict Form A only. Jury found plaintiff did not prove all eight essential elements of fraudulent misrepresentation or concealment (Q1 = NO), so no further questions were answered. All damage lines (Q5a-i, Q7, Q9) were left blank as instructed.",NA,NA,NA,NA,NA,"9","09/12/2016","Judge Robert E. Blackburn","9","15","9","3","3","87","Recess from 11:05 a.m. to 11:23 a.m. (18 minutes) occurred during voir dire window. Voir dire started at 10:03 a.m. and ended at 12:08 p.m. (civil jury oath administered), total elapsed 125 minutes minus 18 minutes recess = 107 minutes. However, bench conference from 11:57 a.m. to 12:00 p.m. (3 minutes) and peremptory challenges exercised between 12:00 p.m. and 12:08 p.m. occurred between last voir dire activity and jury oath. Net voir dire: 125 - 18 = 107 minutes including bench conference and peremptory challenge time.","10","12:18 p.m.","5:23 p.m.","Jury requested additional deliberation time; court granted an extra 30 minutes. Verdict was unanimous. Defendant ordered to file motion for attorneys' fees and costs by October 14, 2016. Total time in court recorded as 3:54. Exhibits and depositions returned to counsel at conclusion of trial.",305,NA
"1400778","corporation","corporation",NA,NA,"1","1","defendant","Jury answered NO to Question 1 — plaintiff failed to prove breach of contract; remaining questions not answered","NO","NO","0",NA,"0",NA,"09/23/2016","Verdict Form B for breach of contract claim only. Jury found for defendant TECSYS on Question 1 (plaintiff did not prove all three essential elements of breach of contract), so all subsequent questions were left unanswered per instructions. The form also contained questions about affirmative defenses (accord and satisfaction, prevention of performance, waiver, statute of limitations, failure to mitigate) and damages categories including lost profits, but none were reached.",NA,NA,NA,NA,NA,"9","09/12/2016","Judge Robert E. Blackburn","9","15","9","3","3","87","Recess from 11:05 a.m. to 11:23 a.m. (18 minutes) occurred during voir dire window. Voir dire started at 10:03 a.m. and ended at 12:08 p.m. (civil jury oath administered), total elapsed 125 minutes minus 18 minutes recess = 107 minutes. However, bench conference from 11:57 a.m. to 12:00 p.m. (3 minutes) and peremptory challenges exercised between 12:00 p.m. and 12:08 p.m. occurred between last voir dire activity and jury oath. Net voir dire: 125 - 18 = 107 minutes including bench conference and peremptory challenge time.","10","12:18 p.m.","5:23 p.m.","Jury requested additional deliberation time; court granted an extra 30 minutes. Verdict was unanimous. Defendant ordered to file motion for attorneys' fees and costs by October 14, 2016. Total time in court recorded as 3:54. Exhibits and depositions returned to counsel at conclusion of trial.",305,NA
"1400778","corporation","corporation",NA,NA,"1","1","defendant","Jury answered No to Question 1 (breach of implied duty of good faith and fair dealing not proven), ending deliberations on Verdict Form C without reaching damages questions","NO","NO","0",NA,"0",NA,"09/23/2016","This is Verdict Form C covering only the breach of implied duty of good faith and fair dealing claim. The jury found for the defendant on Question 1, so no further questions were answered. The form includes damage categories (lost employee time, training expenses, equipment costs, lost profits) and a gross negligence/willful misconduct question but none were reached.",NA,NA,NA,NA,NA,"9","09/12/2016","Judge Robert E. Blackburn","9","15","9","3","3","87","Recess from 11:05 a.m. to 11:23 a.m. (18 minutes) occurred during voir dire window. Voir dire started at 10:03 a.m. and ended at 12:08 p.m. (civil jury oath administered), total elapsed 125 minutes minus 18 minutes recess = 107 minutes. However, bench conference from 11:57 a.m. to 12:00 p.m. (3 minutes) and peremptory challenges exercised between 12:00 p.m. and 12:08 p.m. occurred between last voir dire activity and jury oath. Net voir dire: 125 - 18 = 107 minutes including bench conference and peremptory challenge time.","10","12:18 p.m.","5:23 p.m.","Jury requested additional deliberation time; court granted an extra 30 minutes. Verdict was unanimous. Defendant ordered to file motion for attorneys' fees and costs by October 14, 2016. Total time in court recorded as 3:54. Exhibits and depositions returned to counsel at conclusion of trial.",305,NA
"1402403","individual","individual","Male","Female","1","1","plaintiff",NA,"NO","NO","250",NA,"0",NA,"06/12/2018","Claim appears to be a civil rights/deliberate indifference claim (serious medical need). The verdict form asks a single damages question with no breakdown by category. Award of $250.00 is unusually low.",NA,NA,NA,NA,NA,NA,"06/11/2018","Chief Judge Marcia S. Krieger",NA,NA,NA,NA,NA,"85","Jurors sworn for voir dire occurred before voir dire by the Court began; jurors sworn to try the case occurred after counsel exercised their challenges","2","10:44 a.m.","1:43 p.m.","Juror #336112 was absent and excused before deliberations began. Court resumed at 1:43 p.m. and jury was present at 1:46 p.m. when verdict was announced. Jurors were polled individually to confirm verdict.",179,NA
"1402565","corporation","individual",NA,"mixed","1","3","defendant","All claims found in favor of defendants on all counts; damages questions left blank as all liability questions answered No","NO","YES","0",NA,"0",NA,"11/04/2016","Jury found in favor of all three defendants (Glenn McQuate, Paul Prouty, Mary Wong) on all 18 liability questions covering misappropriation of trade secrets, breach of contract, breach of duty of loyalty, tortious interference with prospective business advantage, intentional interference with contracts, and civil conspiracy. Damages sections (Part II and Part III) were left blank as instructed when all liability questions answered No.",NA,NA,NA,NA,NA,"7","10/31/2016","Judge Raymond P. Moore","8",NA,NA,"3","3","82","Voir dire by Ms. Miletich began at 11:06 a.m. after court resumed at 11:05 a.m.; counsel passed the panel for cause at 11:17 a.m. at the bench before jurors were sworn","5","12:11 p..m.","4:50 p.m.","Verdict found in favor of Defendants and against Plaintiffs. Document notes 'Trial continued' despite verdict being reached and judgment directed to be entered. Typo in original document: '12:11 p..m.' (double period). Total in court time recorded as 03:14.",279,NA
"1500720","individual","corporation","Male",NA,"1","1","plaintiff",NA,"YES","NO","580000","100000","0",NA,"08/18/2017","Noneconomic damages awarded: $100,000; Economic damages awarded: $500,000; Reduction for failure to mitigate: $20,000; Net award: $580,000. Both actual and constructive discharge questions (Q3 and Q4) were answered YES.",".
What is the total amount of plaintiff's damages, if any, for economic losses? Economic","b",NA,0.42680675,TRUE,"7",NA,"Judge Lewis T. Babcock",NA,NA,NA,NA,NA,NA,NA,"5","1:17 p.m.","4:31 p.m.","Deliberation start time recorded as 'Jury begins deliberation' at 1:17 p.m. A jury deliberation question was reviewed with counsel at 3:20 p.m. Verdict reached at 4:31 p.m. when court came back in session and jury was escorted in. Jury was polled and then excused. Total time in court recorded as 03:45.",194,NA
"1501068","individual","corporation","Male",NA,"1","1","defendant","Jury answered No to questions 2, 3, and 4 (defendant did not know about danger, did not fail to use reasonable care, and failure was not a cause of plaintiff's injuries), resulting in a defense verdict. Damage and negligence percentage fields were left blank.","YES","NO","0","0","0",NA,"01/12/2017","The jury answered Yes to Question 1 (plaintiff had injuries) but No to Questions 2, 3, and 4, which required a stop per the form instructions. Questions 5, 6, and 7 were therefore not answered. Damage award lines were left blank.",NA,NA,NA,NA,NA,"9","01/09/2017","Judge Lewis T. Babcock","9",NA,"2","3","3","51","Prior to voir dire commencing at 9:45 a.m., the following occurred after jury panel arrived at 9:09 a.m.: Court's opening remarks, court advised jury panel regarding stipulated facts, jurors sworn for voir dire, fifteen jurors called to the jury box, and counsel introduced themselves and those seated at counsel tables.","4","10:40 a.m.","2:10 p.m.","Jury deliberated from 10:40 a.m. to approximately 2:10 p.m. (court back in session) with verdict announced at 2:12 p.m. Judgment entered in favor of defendant Wal-Mart Stores, Inc. with costs awarded to defendant. Total trial time recorded as 1:42. Exhibits and depositions returned to counsel.",210,NA
"1501795","individual","individual","Male","Male","1","2","defendant","Jury found in favor of both defendants on all questions (unlawful arrest, excessive force, willful and wanton negligence, and outrageous conduct). Questions Five and Six (damages) were not reached.","YES","YES","0","0","0",NA,"09/27/2017","All liability questions answered NO for both defendants. The verdict form included spaces for actual and punitive damages (Questions Five and Six) but these were not completed as the jury found for the defendants on all liability questions.",NA,NA,NA,NA,NA,"8","09/25/2017","Magistrate Judge Michael J. Watanabe","8",NA,"2","3","3","90","Fourteen jurors called to the jury box at 8:57 a.m.; Court's preliminary remarks and introduction of counsel, parties, and staff; Statement by the Court at 9:03 a.m.; All jurors sworn for voir dire at 9:07 a.m. before Court voir dire began at 9:08 a.m.","3","11:00 a.m.","1:19 p.m.","Plaintiff's closing rebuttal counsel name spelled inconsistently ('Mr. Poole' on page 2 vs. 'Mr. Pooley' on page 1). Jury size was eight jurors. Plaintiff's Exhibit 28b admitted by stipulation. Post-trial motions deadline set for October 12, 2017. Total in-court time recorded as 01:51.",139,NA
