"case_id","Pl_type_verdict","Pl_type_judgement","Pl_type_minutes","Def_type_verdict","Def_type_judgement","Def_type_minutes","Pl_gender_verdict","Pl_gender_judgement","Def_gender_verdict","Def_gender_judgement","Number_pl_verdict","Number_pl_judgement","Number_def_verdict","Number_def_judgement","Trial_start_minutes","Trial_start_docket","Verdict_date_minutes","Verdict_date_docket","NumberofDaysinTrial","NumberofDaysinTrial_docket","Multiple_trials_note","Judge_initial_assignment","Magistrate_assignment","Judge_jury_trial_minutes","Judge_jury_trial_docket","SeatedJurySize_beg","SeatedJurySize_end","JuryPoolSize","Excused_by_court","Plaintiff_challenges","Defendant_challenges","Voir_dire_start","Voir_dire_end","Voir_dire_recess_times","Voir_dire_recess_length","Voir_dire_time","VD_extras","Deliberation_time","Deliberation_time_flag","Deliberation_days","Delib_schedule","Non_economic_damages_requested","Punitive_damages_requested","Monetary_award","Damages_itemized","Damages_sum_check","Outcome_verdict","Outcome_judgement","Outcome_docket","Verdict_note","Non_economic_damages_awarded","Punitive_damages_awarded","Percent_plaintiff_liable"
"1102557","government entity","federal government agency",NA,"corporation","corporation",NA,NA,NA,NA,NA,"1","1","1","1",NA,"04/08/2013",NA,"04/12/2013",NA,"5",NA,"Judge Lewis T. Babcock","Magistrate Judge Craig B. Shaffer",NA,"Judge Christine M. Arguello",NA,"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"YES","YES",30543.25,"[{""question"":""Q4 — Back Pay"",""amount"":132347,""recipient"":""plaintiff"",""type"":""economic""},{""question"":""Q4 — Emotional Pain and Mental Anguish Damages"",""amount"":0,""recipient"":""plaintiff"",""type"":""noneconomic""},{""question"":""Q6 — Reduction of back pay for failure to mitigate"",""amount"":101803.75,""recipient"":""defendant"",""type"":""economic""},{""question"":""Q8 — Punitive damages"",""amount"":0,""recipient"":""plaintiff"",""type"":""punitive""}]","ok","plaintiff","plaintiff","plaintiff","Plaintiff EEOC prevailed on Claim 1 (Disability Discrimination) but not Claim 2 (Unlawful Use of Medical Examination). Back pay awarded was $132,347.00 but reduced by $101,803.75 for failure to mitigate. No punitive damages awarded. The claimant on whose behalf EEOC sued is Mr. Sungaila.",NA,NA,NA
"1202735","individual","individual","individual","individual","individual","individual","Male","Male","Male","Male","1","1","3","3","05/18/2015","05/18/2015","05/22/2015","05/22/2015","5","5",NA,"Judge Richard P. Matsch","Magistrate Judge Boyd N. Boland","Senior District Judge Richard P. Matsch","Judge Richard P. Matsch","12","11",NA,"3","3","3","09:00 AM","11:12 AM","10:45 AM to 11:08 AM",23,109,"At 10:30 a.m., bench conference where counsel passed jury panel for cause and requested no additional voir dire by the Court. At 10:35 a.m., Court outlined trial stages and protocol for jurors. Challenges for cause and peremptory challenges were recorded. At 10:45 a.m., jury was excused from the courtroom. At 11:10 a.m., jury entered courtroom prior to being sworn at 11:12 a.m.",342,NA,2,"Day 1: 1:32 PM to 4:32 PM, 180 min; Day 2: 9:00 AM to 11:42 AM, 162 min","NO","NO",72583,"[{""question"":""Damages sustained caused by violations of the Fourth Amendment"",""amount"":72583,""recipient"":""plaintiff"",""type"":""null""}]","ok","plaintiff","plaintiff","plaintiff","Court had already ruled that defendants Weatherill and Hartbauer violated the Fourth Amendment by their entry and removal of plaintiff from the van; jury decided on excessive force (Q1: No), supervisory liability of Bishop (Q2: Yes), damages caused by Fourth Amendment violations (Q3: Yes).",NA,NA,NA
"1302826","individual","individual","individual","government entity","state agency, individual","government","Female","Female",NA,"Mixed","1","1","1","3","01/30/2017","01/30/2017","02/07/2017","02/07/2017","7","7",NA,"Judge Wiley Y. Daniel","Magistrate Judge Craig B. Shaffer","Senior Judge Wiley Y. Daniel","Judge Wiley Y. Daniel","10","10",NA,"6","3","3","10:16 AM","1:31 PM","12:00 PM to 12:19 PM",19,176,"At 10:02 a.m. Court in Session - Jury present; Court's opening remarks to prospective jurors preceded voir dire oath at 10:03 a.m. and voir dire by Court at 10:16 a.m. At 1:31 p.m. jury sworn; prior untimed content includes peremptory challenge lists and challenges for cause list.",446,NA,1,"Day 1: 9:00 AM to 4:26 PM, 446 min","NO","NO",0,"[{""question"":""Q5 — Damages awarded to plaintiff"",""amount"":0,""recipient"":""plaintiff"",""type"":""economic""}]","ok","defendant","defendant","defendant","Jury found for defendant on Question 1 (no Equal Pay Act violation proven), ending deliberations before damages questions were reached.",NA,NA,NA
"1400348","individual","individual","individual","corporation","corporation","corporation","Male","Male",NA,NA,"1","1","1","1","08/22/2016","08/22/2016","08/26/2016","08/26/2016","5","5",NA,"Judge Richard P. Matsch","Magistrate Judge Kathleen M. Tafoya","Magistrate Judge Michael E. Hegarty","Magistrate Judge Michael E. Hegarty","7","7",NA,"3","3","3","09:38 AM","11:36 AM",NA,0,118,"At 9:38 a.m., jury brought in and court makes preliminary statements to the jury before jurors are sworn for voir dire. At 11:36 a.m. (jury sworn), prior events at 11:14 a.m. bench conference with counsel and 11:17 a.m. bench conference with counsel and juror 100326927 occurred before the swearing, along with untimed listings of jurors excused for cause and peremptory challenges.",124,NA,1,"Day 1: 11:56 AM to 2:00 PM, 124 min","NO","NO",0,"[{""question"":""Q5 — Total amount of back pay damages"",""amount"":0,""recipient"":""plaintiff"",""type"":""economic""},{""question"":""Q6 — Amount to reduce plaintiff's back pay damages (failure to mitigate)"",""amount"":0,""recipient"":""defendant"",""type"":""economic""}]","ok","defendant","defendant","defendant","Jury answered No to Question 1 (whether plaintiff did not know or should not have known of ineligible for rehire designation until 2013), ending deliberations. Questions 2-6 were not answered.",NA,NA,NA
"1402403","individual","individual","individual","individual","individual","individual","Male","Male","Female","Female","1","1","1","1","06/11/2018","06/11/2018","06/12/2018","06/12/2018","2","2","Multiple trial sequences found. First scheduled trial on 12/19/2017 was vacated and reset (no jury seated, trial vacated before starting). Second scheduled trial on 4/24/2018 (Jury Trial Day 1) was continued to 6/11-12/2018. Final completed trial on 6/11-6/12/2018 returned a verdict in favor of plaintiff. Final trial: 2 days.","Magistrate Judge Boyd N. Boland","Magistrate Judge Boyd N. Boland","Chief Judge Marcia S. Krieger","Chief Judge Marcia S. Krieger",NA,NA,NA,NA,NA,NA,"08:50 AM","10:15 AM",NA,0,85,"Jurors sworn for voir dire; Voir dire by the Court; Counsel exercise their challenges; Jurors sworn to try the case — all occurring between 8:50 a.m. and the 10:15 a.m. recess",179,NA,1,"Day 1: 10:44 AM to 1:43 PM, 179 min","NO","NO",250,"[{""question"":""Question 4: Amount of damages awarded to Mr. Rabidue against Ms. Dang"",""amount"":250,""recipient"":""plaintiff"",""type"":""economic""}]","ok","plaintiff","plaintiff","plaintiff",NA,NA,NA,NA
"1402565","corporation","corporation","corporation","individual","individual","individual",NA,NA,"mixed","Mixed","1","1","3","3","10/31/2016","10/31/2016","11/04/2016","11/04/2016","5","5",NA,"Judge Wiley Y. Daniel","Magistrate Judge Michael J. Watanabe","Judge Raymond P. Moore","Judge Raymond P. Moore","8","7",NA,NA,"3","3","09:21 AM","11:26 AM","10:48 AM to 11:05 AM",17,108,"At 11:06 a.m. Voir dire by Ms. Miletich. At 11:17 a.m. at the bench, counsel pass the panel for cause. Peremptory challenges listed before jury sworn.",279,NA,1,"Day 1: 12:11 PM to 4:50 PM, 279 min","NO","YES",0,"[{""question"":""Actual damages against Defendant Glenn McQuate"",""amount"":0,""recipient"":""plaintiff"",""type"":""economic""},{""question"":""Actual damages against Defendant Paul Prouty"",""amount"":0,""recipient"":""plaintiff"",""type"":""economic""},{""question"":""Actual damages against Defendant Mary Wong"",""amount"":0,""recipient"":""plaintiff"",""type"":""economic""},{""question"":""Punitive damages against Defendant Glenn McQuate"",""amount"":0,""recipient"":""plaintiff"",""type"":""punitive""},{""question"":""Punitive damages against Defendant Paul Prouty"",""amount"":0,""recipient"":""plaintiff"",""type"":""punitive""},{""question"":""Punitive damages against Defendant Mary Wong"",""amount"":0,""recipient"":""plaintiff"",""type"":""punitive""}]","ok","defendant","defendant","defendant","Single verdict form covering all three defendants. Jury found in favor of all defendants on all claims (misappropriation of trade secrets, breach of contract, breach of duty of loyalty, tortious interference with prospective business advantage, intentional interference with contracts, and civil conspiracy). No damages awarded.",NA,NA,NA
"1500720","individual","individual","individual","corporation","corporation","corporation","Male","Male",NA,NA,"1","1","1","1","08/14/2017","08/14/2017","08/18/2017","08/18/2017","5","5",NA,"Judge Wiley Y. Daniel","Magistrate Judge Kathleen M. Tafoya","Magistrate Judge Nina Y. Wang","Magistrate Judge Nina Y. Wang","8","7",NA,"1","3","3","09:24 AM","12:56 PM","10:50 AM to 11:09 AM; 12:13 PM to 12:33 PM",39,173,"At 12:33 p.m. court ruled on Batson challenge (allowing peremptory challenge regarding Juror No. 100349362, not reinstating juror), peremptory challenges listed, jurors seated listed, jury empaneled, and opening remarks by the Court — all before the 12:56 p.m. lunch recess timestamp used as voir dire end.",363,NA,2,"Day 1: 1:12 PM to 4:01 PM, 169 min; Day 2: 1:17 PM to 4:31 PM, 194 min","YES","NO",580000,"[{""question"":""Noneconomic losses or injuries (pain and suffering, etc.)"",""amount"":100000,""recipient"":""plaintiff"",""type"":""noneconomic""},{""question"":""Economic losses"",""amount"":500000,""recipient"":""plaintiff"",""type"":""economic""},{""question"":""Reduction for failure to mitigate damages"",""amount"":20000,""recipient"":""defendant"",""type"":""economic""}]","ok","plaintiff","plaintiff","plaintiff",NA,100000,NA,NA
"1501068","individual","individual","individual","corporation","corporation","corporation","Male","Male",NA,NA,"1","1","1","1","01/09/2017","01/09/2017","01/12/2017","01/12/2017","4","4",NA,"Judge Lewis T. Babcock","Magistrate Judge Kristen L. Mix","Judge Lewis T. Babcock","Judge Lewis T. Babcock","9","9",NA,"2","3","3","9:45 AM","10:36 AM",NA,0,51,"At 9:45 AM, before voir dire commences, counsel introduced themselves and those seated at counsel tables.",210,NA,1,"Day 1: 10:40 AM to 2:10 PM, 210 min","YES","NO",0,"[{""question"":""Non-economic losses or injuries (excluding physical impairment or disfigurement)"",""amount"":0,""recipient"":""plaintiff"",""type"":""noneconomic""},{""question"":""Economic losses (excluding physical impairment or disfigurement)"",""amount"":0,""recipient"":""plaintiff"",""type"":""economic""},{""question"":""Physical impairment or disfigurement"",""amount"":0,""recipient"":""plaintiff"",""type"":""noneconomic""}]","ok","defendant","defendant","defendant","Jury answered No to questions 2, 3, and 4 (defendant did not know about danger, did not fail to use reasonable care, and failure was not a cause of plaintiff's injuries), stopping before damages questions. Verdict form stopped at question 4 with No answers, so damages were not reached.",NA,NA,NA
"1501795","individual","individual","individual","individual","individual","individual","Male","Male","Male","Mixed","1","1","2","2","09/25/2017","09/25/2017","09/27/2017","09/27/2017","3","3",NA,"Chief Judge Marcia S. Krieger","Magistrate Judge Michael J. Watanabe","Magistrate Judge Michael J. Watanabe","Magistrate Judge Michael J. Watanabe","8","8",NA,"2","3","3","9:08 AM","10:40 AM",NA,0,92,"Prior to voir dire start at 9:08 AM: at 9:03 a.m. Statement by the Court; at 9:07 a.m. All jurors sworn for voir dire. Prior to jury sworn at 10:40 AM: at 10:38 a.m. Eight jurors selected to try the case (juror IDs listed); at 10:39 a.m. Jurors not selected are excused.",137,NA,1,"Day 1: 11:02 AM to 1:19 PM, 137 min","YES","YES",0,"[{""question"":""Question Five — Actual damages awarded to Mr. Forbes"",""amount"":0,""recipient"":""defendant"",""type"":""economic""},{""question"":""Question Six — Punitive damages awarded to Mr. Forbes"",""amount"":0,""recipient"":""defendant"",""type"":""punitive""}]","ok","defendant","defendant","defendant","Verdict in favor of both defendants (Deputy Michael Donnellon and Deputy Aaron Sandoval) on all questions. All liability questions (unlawful arrest, excessive force, willful and wanton negligence, outrageous conduct) answered NO. Jury signed the defendant certification section dated September 27, 2017. Questions Five and Six (damages) were not reached.",NA,NA,NA
"1501974","individual","individual","individual","individual","individual","individual","Male","Male","Mixed","Mixed","1","1","2","3","08/07/2017","08/07/2017","08/14/2017","08/14/2017","6","6",NA,"Judge William J. Martinez","Magistrate Judge Kristen L. Mix","Judge William J. Martínez","Judge William J. Martinez",NA,"8",NA,"13",NA,NA,"02:15 PM",NA,"03:34 PM to 03:57 PM",23,NA,"At 02:08 PM court came back in session with jury panel present and court gave opening remarks to the jury before voir dire commenced at 02:15 PM.",243,NA,1,"Day 1: 12:36 PM to 04:39 PM, 243 min","NO","NO",NA,NA,"no itemized damages","defendant","defendant","defendant","This document is courtroom minutes from jury trial day six, not a verdict form itself. The verdict was read aloud by the Court but the specific findings and amounts are not recorded in this document. Based on public record, the jury found for defendants on Mueller's claims and for counterclaimant Taylor Swift on her counterclaim, awarding $1 symbolic damages.",NA,NA,NA
"1502785","corporation","individual, corporation","individual, corporation","individual, corporation","individual, corporation","individual, corporation",NA,"Male","Male","Male","1","3","3","3","02/11/2019","02/11/2019","02/15/2019","02/15/2019","5","5",NA,"Magistrate Judge Gordon P. Gallagher","Magistrate Judge Gordon P. Gallagher","Judge Raymond P. Moore","Judge Raymond P. Moore","8","8",NA,"1","3","3","09:22 AM","11:17 AM","10:35 AM to 10:51 AM",16,99,"At 9:19 a.m. jury panel is present and introductory statements by the Court occurred before jury panel was sworn on voir dire at 9:22 a.m. At 11:17 a.m. counsel exercise their peremptory challenges before jurors are sworn to try the case (no separate timestamp for swearing).",NA,"one or more days had unresolvable times — verify manually",2,NA,"NO","NO",475000,"[{""question"":""Lost profits recoverable by Plaintiff"",""amount"":475000,""recipient"":""plaintiff"",""type"":""economic""},{""question"":""Reasonable royalty rate per unit"",""amount"":{},""recipient"":""plaintiff"",""type"":""economic""},{""question"":""Total number of infringing units sold by Defendants"",""amount"":{},""recipient"":""plaintiff"",""type"":""economic""},{""question"":""Monetary value of the reasonable royalty"",""amount"":{},""recipient"":""plaintiff"",""type"":""economic""}]","verify — one or more line items had no amount","plaintiff","plaintiff","plaintiff","Patent infringement case. Jury found infringement on all questioned claims (literal, doctrine of equivalents, contributory, and induced) across three generations of products. Willfulness found only as to Defendant Von Honnecke. Patent not invalid by anticipation or obviousness. Lost profits awarded; reasonable royalty fields left blank.",NA,NA,NA
